_main               	1    	MAIN                	----------	mainFunction        	yes		--------------------
--------------------	-----	--------------------	----------	ROOT                	no		mainFunction        
[                   	1    	SQO                 	----------	mainFunction        	yes		--------------------
]                   	1    	SQC                 	----------	mainFunction        	yes		--------------------
string              	2    	STRING              	----------	typevar             	yes		--------------------
--------------------	-----	--------------------	----------	declarationStmt     	no		typevar             
--------------------	-----	--------------------	----------	stmt                	no		declarationStmt     
str1                	2    	ID                  	----------	varList             	yes		--------------------
--------------------	-----	--------------------	----------	declarationStmt     	no		varList             
,                   	2    	COMMA               	----------	moreIds             	yes		--------------------
--------------------	-----	--------------------	----------	varList             	no		moreIds             
str2                	2    	ID                  	----------	varList             	yes		--------------------
--------------------	-----	--------------------	----------	moreIds             	no		varList             
(null)              	-----	EPSILON             	----------	varList             	yes		--------------------
;                   	2    	SEMICOLON           	----------	declarationStmt     	yes		--------------------
--------------------	-----	--------------------	----------	stmtOrFunctionDef   	no		stmt                
--------------------	-----	--------------------	----------	stmtsAndFunctionDefs	no		stmtOrFunctionDef   
--------------------	-----	--------------------	----------	mainFunction        	no		stmtsAndFunctionDefs
matrix              	3    	MATRIX              	----------	typevar             	yes		--------------------
--------------------	-----	--------------------	----------	declarationStmt     	no		typevar             
--------------------	-----	--------------------	----------	stmt                	no		declarationStmt     
m1                  	3    	ID                  	----------	varList             	yes		--------------------
--------------------	-----	--------------------	----------	declarationStmt     	no		varList             
(null)              	-----	EPSILON             	----------	varList             	yes		--------------------
;                   	3    	SEMICOLON           	----------	declarationStmt     	yes		--------------------
--------------------	-----	--------------------	----------	stmtOrFunctionDef   	no		stmt                
--------------------	-----	--------------------	----------	stmtsAndFunctionDefs	no		stmtOrFunctionDef   
--------------------	-----	--------------------	----------	moreStmtAndFunctionDefs	no		stmtsAndFunctionDefs
str1                	4    	ID                  	----------	stmt                	yes		--------------------
--------------------	-----	--------------------	----------	stmtOrFunctionDef   	no		stmt                
=                   	4    	ASSIGNOP            	----------	stmt                	yes		--------------------
"eradicate"         	4    	STR                 	----------	var                 	yes		--------------------
--------------------	-----	--------------------	----------	varExpression       	no		var                 
--------------------	-----	--------------------	----------	arithmeticExpression2	no		varExpression       
--------------------	-----	--------------------	----------	arithmeticExpression	no		arithmeticExpression2
(null)              	-----	EPSILON             	----------	arithmeticExpression2	yes		--------------------
--------------------	-----	--------------------	----------	assignmentStmt      	no		arithmeticExpression
(null)              	-----	EPSILON             	----------	arithmeticExpression	yes		--------------------
